File,Level,Order in file,Clean Question,Tagged Elements,Full Question,Answer
"/level2/coref/rm2-18.txt.coref","2","3","When was the first day of thanks held?","['<MARKABLE><COREF ID=""400"" REF=""392"">', '</COREF></MARKABLE>', '<MARKABLE><COREF ID=""407"" REF=""401"">', '</COREF></MARKABLE>']","3.  When was the first <MARKABLE><COREF ID=""400"" REF=""392"">day</COREF></MARKABLE> of <MARKABLE><COREF ID=""407"" REF=""401"">thanks</COREF></MARKABLE> held?",""
"/level2/coref/rm2-18.txt.coref","2","4","Where did the Pilgrims live before coming to America?","['<MARKABLE><COREF ID=""432"" REF=""413"">', '</COREF></MARKABLE>', '<MARKABLE><COREF ID=""434"">', '</COREF></MARKABLE>']","4.  Where did the <MARKABLE><COREF ID=""432"" REF=""413"">Pilgrims</COREF></MARKABLE> live before coming to <MARKABLE><COREF ID=""434"">America</COREF></MARKABLE>?",""
"/level2/coref/rm2-18.txt.coref","2","5","Why were the Pilgrims sad?","['<MARKABLE><COREF ID=""433"" REF=""413"">', '</COREF></MARKABLE>']","5. Why were the <MARKABLE><COREF ID=""433"" REF=""413"">Pilgrims</COREF></MARKABLE> sad?",""
"/level2/coref/rm2-19.txt.coref","2","1","Who can see the northern lights?","['<MARKABLE><COREF ID=""359"" REF=""352"">', '</COREF></MARKABLE>']","1. Who can see the <MARKABLE><COREF ID=""359"" REF=""352"">northern lights</COREF></MARKABLE>?",""
"/level2/coref/rm2-19.txt.coref","2","2","What causes these lights?","['<MARKABLE><COREF ID=""360"" REF=""352"">', '</COREF></MARKABLE>']","2. What causes these <MARKABLE><COREF ID=""360"" REF=""352"">lights</COREF></MARKABLE>?",""
"/level2/coref/rm2-19.txt.coref","2","3","When can they be seen?","['<MARKABLE><COREF ID=""361"" REF=""352"">', '</COREF></MARKABLE>']","3. When can <MARKABLE><COREF ID=""361"" REF=""352"">they</COREF></MARKABLE> be seen?",""
"/level2/coref/rm2-19.txt.coref","2","4","Where are the northern lights?","['<MARKABLE><COREF ID=""362"" REF=""352"">', '</COREF></MARKABLE>']","4.  Where are the <MARKABLE><COREF ID=""362"" REF=""352"">northern lights</COREF></MARKABLE>?",""
"/level2/coref/rm2-19.txt.coref","2","5","Why is March 21 a special day?","['<MARKABLE><COREF ID=""369"" REF=""363"">', '</COREF></MARKABLE>', '<MARKABLE><COREF ID=""370"" REF=""363"">', '</COREF></MARKABLE>']","5.  Why is <MARKABLE><COREF ID=""369"" REF=""363"">March 21</COREF></MARKABLE> a special <MARKABLE><COREF ID=""370"" REF=""363"">day</COREF></MARKABLE>?",""
"/level2/coref/rm2-2.txt.coref","2","1","Who left Joplin on October 26, 1861?","['<COREF ID=""51"" REF=""2""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""52"" REF=""3""><MARKABLE>', '</MARKABLE></COREF>']","1. Who left <COREF ID=""51"" REF=""2""><MARKABLE>Joplin</MARKABLE></COREF> on <COREF ID=""52"" REF=""3""><MARKABLE>October 26, 1861</MARKABLE></COREF>?",""
"/level2/coref/rm2-2.txt.coref","2","2","What did the Pony Express riders do?","['<COREF ID=""53"" REF=""1""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""54"" REF=""9""><MARKABLE>', '</MARKABLE></COREF>']","2. What did the <COREF ID=""53"" REF=""1""><MARKABLE>Pony Express</MARKABLE></COREF> <COREF ID=""54"" REF=""9""><MARKABLE>riders</MARKABLE></COREF> do?",""
"/level2/coref/rm2-2.txt.coref","2","3","When did the Pony Express start?","['<COREF ID=""55"" REF=""1""><MARKABLE>', '</MARKABLE></COREF>']","3.  When did the <COREF ID=""55"" REF=""1""><MARKABLE>Pony Express</MARKABLE></COREF> start?",""
"/level2/coref/rm2-2.txt.coref","2","4","Where did the riders stop for a rest?","['<COREF ID=""56"" REF=""9""><MARKABLE>', '</MARKABLE></COREF>']","4.  Where did the <COREF ID=""56"" REF=""9""><MARKABLE>riders</MARKABLE></COREF> stop for a rest?",""
"/level2/coref/rm2-2.txt.coref","2","5","Why did the Pony Express end?","['<MARKABLE>Pony Express</MARKABLE>']","5.  Why did the <MARKABLE>Pony Express</MARKABLE> end?",""
"/level2/coref/rm2-20.txt.coref","2","1","Who lives in Greenland?","['<MARKABLE><COREF ID=""330"" REF=""318"">', '</COREF></MARKABLE>']","1.  Who lives in <MARKABLE><COREF ID=""330"" REF=""318"">Greenland</COREF></MARKABLE>?",""
"/level2/coref/rm2-20.txt.coref","2","2","What happens on April 21?","['<MARKABLE><COREF ID=""317"" REF=""313"">', '</COREF></MARKABLE>']","2.  What happens on <MARKABLE><COREF ID=""317"" REF=""313"">April 21</COREF></MARKABLE>?",""
"/level2/coref/rm2-20.txt.coref","2","3","When does the sun set and not rise?","['<MARKABLE><COREF ID=""341"" REF=""333"">', '</COREF></MARKABLE>']","3. When does the <MARKABLE><COREF ID=""341"" REF=""333"">sun</COREF></MARKABLE> set and not rise?",""
"/level2/coref/rm2-20.txt.coref","2","4","Where is ""the land of the midnight sun""?","['<MARKABLE><COREF ID=""331"" REF=""318"">', '</COREF></MARKABLE>', '<MARKABLE><COREF ID=""346"" REF=""345"">', '</COREF></MARKABLE>', '<MARKABLE><COREF ID=""342"" REF=""333"">', '</COREF></MARKABLE>']","4. Where is ""the <MARKABLE><COREF ID=""331"" REF=""318"">land</COREF></MARKABLE> of the <MARKABLE><COREF ID=""346"" REF=""345"">midnight</COREF></MARKABLE> <MARKABLE><COREF ID=""342"" REF=""333"">sun</COREF></MARKABLE>""?",""
"/level2/coref/rm2-20.txt.coref","2","5","Why does Greenland have strange seasons?","['<MARKABLE><COREF ID=""332"" REF=""318"">', '</COREF></MARKABLE>', '<MARKABLE>seasons</MARKABLE>']","5. Why does <MARKABLE><COREF ID=""332"" REF=""318"">Greenland</COREF></MARKABLE> have strange <MARKABLE>seasons</MARKABLE>?",""
"/level2/coref/rm2-21.txt.coref","2","1","Who has offered to help with the clean-up?","['<MARKABLE><COREF ID=""310"" REF=""309"">', '</COREF></MARKABLE>']","1.  Who has offered to help with the <MARKABLE><COREF ID=""310"" REF=""309"">clean-up</COREF></MARKABLE>?",""
"/level2/coref/rm2-21.txt.coref","2","2","What animals are in trouble?","['<MARKABLE><COREF ID=""312"" REF=""294"">', '</COREF></MARKABLE>']","2.  What <MARKABLE><COREF ID=""312"" REF=""294"">animals</COREF></MARKABLE> are in trouble?",""
"/level2/coref/rm2-21.txt.coref","2","3","When should the clean-up take place?","['<MARKABLE><COREF ID=""311"" REF=""309"">', '</COREF></MARKABLE>', '<MARKABLE>place</MARKABLE>']","3.  When should the <MARKABLE><COREF ID=""311"" REF=""309"">clean-up</COREF></MARKABLE> take <MARKABLE>place</MARKABLE>?",""
"/level2/coref/rm2-21.txt.coref","2","4","Where is the oil spill?","['<MARKABLE><COREF ID=""279"" REF=""266"">', '</COREF></MARKABLE>', '<MARKABLE><COREF ID=""286"" REF=""281"">', '</COREF></MARKABLE>']","4.  Where is the <MARKABLE><COREF ID=""279"" REF=""266"">oil</COREF></MARKABLE> <MARKABLE><COREF ID=""286"" REF=""281"">spill</COREF></MARKABLE>?",""
"/level2/coref/rm2-21.txt.coref","2","5","Why must the oil spill be stopped?","['<MARKABLE><COREF ID=""280"" REF=""266"">', '</COREF></MARKABLE>', '<MARKABLE><COREF ID=""287"" REF=""281"">', '</COREF></MARKABLE>']","5.  Why must the <MARKABLE><COREF ID=""280"" REF=""266"">oil</COREF></MARKABLE> <MARKABLE><COREF ID=""287"" REF=""281"">spill</COREF></MARKABLE> be stopped?",""
"/level2/coref/rm2-22.txt.coref","2","1","Who is writing a book?","['<MARKABLE><COREF ID=""216"" REF=""208"">', '</COREF></MARKABLE>']","1. Who is writing a <MARKABLE><COREF ID=""216"" REF=""208"">book</COREF></MARKABLE>?",""
"/level2/coref/rm2-22.txt.coref","2","2","What does the book show?","['<MARKABLE><COREF ID=""217"" REF=""208"">', '</COREF></MARKABLE>']","2. What does the <MARKABLE><COREF ID=""217"" REF=""208"">book</COREF></MARKABLE> show?",""
"/level2/coref/rm2-22.txt.coref","2","3","When did he begin the book?","['<MARKABLE><COREF ID=""243"" REF=""227"">', '</COREF></MARKABLE>', '<MARKABLE><COREF ID=""218"" REF=""208"">', '</COREF></MARKABLE>']","3. When did <MARKABLE><COREF ID=""243"" REF=""227"">he</COREF></MARKABLE> begin the <MARKABLE><COREF ID=""218"" REF=""208"">book</COREF></MARKABLE>?",""
"/level2/coref/rm2-22.txt.coref","2","4","Where does Noah work?","['<MARKABLE><COREF ID=""244"" REF=""227"">', '</COREF></MARKABLE>']","4. Where does <MARKABLE><COREF ID=""244"" REF=""227"">Noah</COREF></MARKABLE> work?",""
"/level2/coref/rm2-22.txt.coref","2","5","Why does Noah want to write this book?","['<MARKABLE><COREF ID=""245"" REF=""227"">', '</COREF></MARKABLE>', '<MARKABLE><COREF ID=""219"" REF=""208"">', '</COREF></MARKABLE>']","5. Why does <MARKABLE><COREF ID=""245"" REF=""227"">Noah</COREF></MARKABLE> want to write this <MARKABLE><COREF ID=""219"" REF=""208"">book</COREF></MARKABLE>?",""
"/level2/coref/rm2-23.txt.coref","2","1","Who made the Livermore light bulb?","['<MARKABLE><COREF ID=""184"" REF=""181"">', '</COREF></MARKABLE>', '<MARKABLE><COREF ID=""203"" REF=""190"">', '</COREF></MARKABLE>']","1. Who made the <MARKABLE><COREF ID=""184"" REF=""181"">Livermore</COREF></MARKABLE> <MARKABLE><COREF ID=""203"" REF=""190"">light bulb</COREF></MARKABLE>?",""
"/level2/coref/rm2-23.txt.coref","2","2","What is strange about this light?","['<MARKABLE><COREF ID=""204"" REF=""194"">', '</COREF></MARKABLE>']","2. What is strange about this <MARKABLE><COREF ID=""204"" REF=""194"">light</COREF></MARKABLE>?",""
"/level2/coref/rm2-23.txt.coref","2","3","When was the first light bulb made?","['<MARKABLE>light bulb</MARKABLE>']","3.  When was the first <MARKABLE>light bulb</MARKABLE> made?",""
"/level2/coref/rm2-23.txt.coref","2","4","Where is the longest-lasting light bulb?","['<MARKABLE><COREF ID=""206"" REF=""190"">', '</COREF></MARKABLE>']","4.  Where is the longest-lasting <MARKABLE><COREF ID=""206"" REF=""190"">light bulb</COREF></MARKABLE>?",""
"/level2/coref/rm2-23.txt.coref","2","5","Why doesn't the light bulb burn out?","['<MARKABLE><COREF ID=""207"" REF=""190"">', '</COREF></MARKABLE>']","5. Why doesn't the <MARKABLE><COREF ID=""207"" REF=""190"">light bulb</COREF></MARKABLE> burn out?",""
"/level2/coref/rm2-24.txt.coref","2","1","Who made the biggest ball in the world?","['<MARKABLE><COREF ID=""151"" REF=""134"">', '</COREF></MARKABLE>', '<MARKABLE><COREF ID=""175"" REF=""174"">', '</COREF></MARKABLE>']","1. Who made the biggest <MARKABLE><COREF ID=""151"" REF=""134"">ball</COREF></MARKABLE> in the <MARKABLE><COREF ID=""175"" REF=""174"">world</COREF></MARKABLE>?",""
"/level2/coref/rm2-24.txt.coref","2","2","What kind of ball did Johnson make?","['<MARKABLE><COREF ID=""152"" REF=""134"">', '</COREF></MARKABLE>', '<MARKABLE><COREF ID=""176"" REF=""162"">', '</COREF></MARKABLE>']","2.  What kind of <MARKABLE><COREF ID=""152"" REF=""134"">ball</COREF></MARKABLE> did <MARKABLE><COREF ID=""176"" REF=""162"">Johnson</COREF></MARKABLE> make?",""
